Meter S/N:, "REV_DA_16"
Sensor, Thermo, Quad, 1A365, LM-3 QHTD HD
Date, 11/20/2014 1:59:51 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
18.2, 0.130493670701981, -1.41136693954468, 1.79521954059601, 18200010, 0, 0, 0
18.3, 0.129833370447159, -1.44459533691406, 1.76743459701538, 18300010, 0, 0, 0
18.4, 0.129825621843338, -1.4267338514328, 1.84371328353882, 18400010, 0, 0, 0
18.5, 0.130433902144432, -1.31230568885803, 1.95943021774292, 18500010, 0, 0, 0
18.6, 0.13021956384182, -1.30881118774414, 1.93587267398834, 18600010, 0, 0, 0
18.7, 0.128458380699158, -1.21751272678375, 2.00318479537964, 18700010, 0, 0, 0
18.8, 0.12874573469162, -1.21385061740875, 2.0981605052948, 18800010, 0, 0, 0
18.9, 0.128374859690666, -1.12166953086853, 2.08185935020447, 18900010, 0, 0, 0
19, 0.127637311816216, -1.03820395469666, 2.13699436187744, 19000010, 0, 0, 0
19.1, 0.126948148012161, -1.07793724536896, 2.24489092826843, 19100010, 0, 0, 0
19.2, 0.12753301858902, -1.07911956310272, 2.19000291824341, 19200010, 0, 0, 0
19.3, 0.127491861581802, -1.04953181743622, 2.25292825698853, 19300010, 0, 0, 0
19.4, 0.127577558159828, -0.993498265743256, 2.31759977340698, 19400010, 0, 0, 0
19.5, 0.127985417842865, -1.04005873203278, 2.29719996452332, 19500010, 0, 0, 0
19.6, 0.128904163837433, -1.00469779968262, 2.19720101356506, 19600010, 0, 0, 0
19.7, 0.128566592931747, -0.941868543624878, 2.21854472160339, 19700010, 0, 0, 0
19.8, 0.128217086195946, -0.933515965938568, 2.1522204875946, 19800010, 0, 0, 0
19.9, 0.129365786910057, -0.969155132770538, 1.65384376049042, 19900010, 0, 0, 0
20, 0.132626816630363, -1.13240611553192, 0.98523223400116, 20000010, 0, 0, 0
20.1, 0.136358350515366, -1.1485253572464, 0.337381273508072, 20100010, 0, 0, 0
20.2, 0.140798091888428, -1.35088992118835, -0.265804082155228, 20200010, 0, 0, 0
20.3, 0.145452201366425, -1.45122706890106, -0.745117485523224, 20300010, 0, 0, 0
20.4, 0.148647263646126, -1.42727625370026, -1.16370666027069, 20400010, 0, 0, 0
20.5, 0.151508942246437, -1.51025402545929, -1.49524319171906, 20500010, 0, 0, 0
20.6, 0.153960227966309, -1.52111053466797, -1.76747310161591, 20600010, 0, 0, 0
