
0	Header	[1]	00  .
9588	Data	[38]	33 2e 37 39 34 39 36 65 2d 30 32 2c 2d 38 2e 33 31 65 2b 30 30 2c 2d 31 2e 34 32 65 2b 30 30 2c 30 2c 39 35 30 30  3.79496e-02,-8.31e+00,-1.42e+00,0,9500
9689	Data	[38]	34 2e 31 30 37 39 38 65 2d 30 32 2c 2d 38 2e 34 38 65 2b 30 30 2c 2d 38 2e 32 32 65 2d 30 31 2c 30 2c 39 36 30 30  4.10798e-02,-8.48e+00,-8.22e-01,0,9600
9789	Data	[38]	34 2e 34 33 39 30 31 65 2d 30 32 2c 2d 38 2e 33 34 65 2b 30 30 2c 2d 34 2e 34 39 65 2d 30 31 2c 30 2c 39 37 30 30  4.43901e-02,-8.34e+00,-4.49e-01,0,9700
9889	Data	[37]	34 2e 36 36 35 39 30 65 2d 30 32 2c 2d 38 2e 31 33 65 2b 30 30 2c 32 2e 37 32 65 2d 30 31 2c 30 2c 39 38 30 30  4.66590e-02,-8.13e+00,2.72e-01,0,9800
9989	Data	[37]	34 2e 38 39 33 39 36 65 2d 30 32 2c 2d 37 2e 38 37 65 2b 30 30 2c 32 2e 38 33 65 2d 30 31 2c 30 2c 39 39 30 30  4.89396e-02,-7.87e+00,2.83e-01,0,9900
10088	Data	[38]	35 2e 31 37 32 30 36 65 2d 30 32 2c 2d 37 2e 39 31 65 2b 30 30 2c 34 2e 33 35 65 2d 30 31 2c 30 2c 31 30 30 30 30  5.17206e-02,-7.91e+00,4.35e-01,0,10000
10189	Data	[38]	35 2e 34 30 38 30 38 65 2d 30 32 2c 2d 37 2e 39 36 65 2b 30 30 2c 35 2e 34 35 65 2d 30 31 2c 30 2c 31 30 31 30 30  5.40808e-02,-7.96e+00,5.45e-01,0,10100
10289	Data	[38]	35 2e 36 34 38 32 38 65 2d 30 32 2c 2d 38 2e 31 31 65 2b 30 30 2c 36 2e 33 31 65 2d 30 31 2c 30 2c 31 30 32 30 30  5.64828e-02,-8.11e+00,6.31e-01,0,10200
10389	Data	[38]	35 2e 35 39 37 33 31 65 2d 30 32 2c 2d 37 2e 38 38 65 2b 30 30 2c 36 2e 31 33 65 2d 30 31 2c 30 2c 31 30 33 30 30  5.59731e-02,-7.88e+00,6.13e-01,0,10300
10489	Data	[38]	35 2e 34 36 33 39 36 65 2d 30 32 2c 2d 37 2e 31 37 65 2b 30 30 2c 37 2e 37 33 65 2d 30 31 2c 30 2c 31 30 34 30 30  5.46396e-02,-7.17e+00,7.73e-01,0,10400
10589	Data	[38]	35 2e 31 37 39 33 32 65 2d 30 32 2c 2d 36 2e 32 33 65 2b 30 30 2c 31 2e 30 36 65 2b 30 30 2c 30 2c 31 30 35 30 30  5.17932e-02,-6.23e+00,1.06e+00,0,10500
